Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Europe	22-25	13 - 17	Male	Self Employed (full time)	Yes	Secondary/high school	Very important	Somewhat important	Very important	Very important	Very important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS	JavaScript, HTML, CSS	Java, TypeScript	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Cyber security, Testing, Other	Social media (twitter, facebook, myspace, bebo, etc)	0-1 years	Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Desktop, Mobile	Linux	1	Several times per week	To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Somewhat	Not sure	Strongly Agree	Somewhat disagree	Somewhat disagree	Yes	This information will be kept private.
Asia	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, Rust, Assembly	C++, Java		I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Game dev	Social media (twitter, facebook, myspace, bebo, etc)	1-2 years	Helping other programmers	Patriotic-Procrastinator	No but I'd like to be	Laptop	Windows	2	Less than once per year	To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat	Somewhat	Not sure	Not sure	Somewhat disagree	Somewhat disagree	Yes	This information will be kept private.
South America	18-21	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Very important	Very important	Don't care	Requirement	Requirement	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, HTML, CSS, PHP, Haskell, Ruby, Other	JavaScript, HTML, CSS, PHP, Ruby, Other	C, Kotlin, Rust, TypeScript, Haskell, Assembly, Lisp, Other	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Data Science, Cyber security, Testing	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers	Active	No but I'd like to be	Laptop	Linux	1	Less than once per month but more than once per year	To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Strongly Agree	Somewhat disagree	No	This information will be kept private.
Europe	31-40	< 13	Male	Employed (part time)	Yes	Associate degree	Requirement	Somewhat important	Somewhat important	Don't care	Somewhat important	Requirement	Somewhat important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, HTML, CSS, PHP, Rust, TypeScript	JavaScript, HTML, CSS	C, Rust, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Robotics, Web dev, Embedded Systems	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers	Chatterbox	No but I'd like to be	Desktop	Linux	3	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Strongly Agree	Not sure	No	This information will be kept private.
Europe	22-25	< 13	Rather not say	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Don't care	Don't care	Requirement	Very important	Requirement	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Python, C, Rust, TypeScript, Haskell, Assembly, Lisp	JavaScript, C++, C, Rust, TypeScript, Haskell	Rust, Assembly, Other	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Embedded Systems, Game dev	Another discord server	1-2 years	Helping other programmers, Lurking	Chatterbox	No but I'd like to be	Desktop	Windows	2	Less than once per year	To give back to the community, To fix issues in libraries I use	I would like to only contribute to open source projects		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Don't care	Somewhat important	Very important	Requirement	Requirement	Requirement	Somewhat important	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, Rust	Python, HTML, CSS	Haskell, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Data Science, Embedded Systems, Cyber security, Game dev	Through a friend/colleague	3+ years	Chatting with other programmers, Getting help with programming problems	Bepis-Drinker		Laptop	Linux	2	Less than once per month but more than once per year	To give back to the community	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	22-25	22 - 25	Male	Student (full time)	No	Secondary/high school		Somewhat important	Requirement	Don't care	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Assembly	Python	C++, C, HTML, Kotlin, TypeScript, Haskell, Lisp	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Robotics, Data Science, Artificial Intelligence	Discord server discovery	2-3 years	Chatting with other programmers, Lurking	Chatterbox	No but I'd like to be	Laptop	Windows	1	Less than once per year	To improve my knowledge, Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Somewhat	Yes	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	College/University study without earning a degree	Very important	Requirement	Very important	Somewhat important	Very important	Very important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, HTML, CSS, Rust, TypeScript, Haskell, Go, Other	Rust, Haskell	Elixir	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Robotics, Web dev, Data Science, Embedded Systems, Artificial Intelligence, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers	Bepis-Drinker	No but I'd like to be	Laptop	Linux	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Somewhat disagree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Somewhat important	Don't care	Don't care	Requirement	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Python, C, Rust, Assembly, Go	C++, C, Assembly		I have lots of projects on the go. Switching between them keeps me motivated	Data Science, Embedded Systems, Cyber security, Game dev, Testing	Another discord server	3+ years	Helping other programmers, Getting help with programming problems	Patriotic-Procrastinator	Yes	Laptop, Desktop	Linux	2	Several times per week	To give back to the community, To improve my knowledge	I would like to only contribute to open source projects		Somewhat	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Don't care	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, TypeScript	Java, Python, Kotlin, Ruby	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Mobile dev, Testing	Other	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	No but I'd like to be	Laptop, Desktop, Mobile	Windows	1	Several times per week	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Somewhat	Somewhat	Not sure	Yes	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Requirement	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, Kotlin, Rust, Haskell	JavaScript, Python, C#	TypeScript, Lisp, Go, Ruby, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Game dev, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Getting help with programming problems	Conke-Commander	Yes	Laptop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Very important	Very important	Requirement	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, HTML, CSS, C#, TypeScript	JavaScript, TypeScript	Rust, Go	Other	Web dev, Mobile dev, Embedded Systems, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers	Bepis-Drinker	No but I'd like to be	Laptop, Desktop	Mac	2	A least once per month	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	No	This information will be kept private.
Asia	18-21	18 - 21	Male	Student (part time)	Yes	Secondary/high school	Very important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin	C++, Java, Python, HTML, CSS, PHP	JavaScript, Kotlin, TypeScript, Other	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Mobile dev, Data Science, Embedded Systems, Cyber security, Game dev, Testing, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	Yes	Laptop, Desktop	Windows	1	A least once per month	To improve my knowledge	I would like to contribute to more open source projects		Not sure	Not sure	Not sure	Not sure	Not sure	Somewhat	No, I didn't know they were enabled	This information will be kept private.
Oceania	18-21	< 13	Male	Employed (part time)	Yes	Bachelor's degree	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, TypeScript, Lua, Assembly, Go	JavaScript, C++, HTML, CSS, C#, TypeScript	Rust, Haskell, Lisp, Ruby, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Mobile dev, Embedded Systems, Game dev	Discord server listing website	3+ years	Helping other programmers, Getting help with programming problems	Super-Talky	No but I'd like to be	Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	Yes	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Don't care	Somewhat important	Very important	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, Java, HTML, CSS, TypeScript	JavaScript, HTML, CSS	C++, TypeScript, Ruby	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Data Science, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	No but I'd like to be	Laptop, Desktop	Windows	2	Never			Other	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
South America	22-25	13 - 17	Male	Student (full time)	Yes	College/University study without earning a degree	Very important	Requirement	Don't care	Don't care	Very important	Very important	Requirement	Requirement	Don't care	Don't care	This information will be kept private.	C++, Python, Rust, Haskell, Other	C++, Rust, Haskell	Kotlin, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Data Science, Other	Another discord server	1-2 years	Chatting with other programmers, Helping other programmers	Patriotic-Procrastinator	No but I'd like to be	Desktop	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Somewhat	Not sure	Somewhat	No	This information will be kept private.
Europe	22-25	18 - 21	Male	Employed (full time)	Yes	College/University study without earning a degree	Requirement	Somewhat important	Very important	Don't care	Requirement	Requirement	Requirement	Don't care	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript, Go	JavaScript, Python, Go	Rust	I commit to a project until I reach a defined end goal before moving on to the next	Pharmaceuticals, Robotics, Web dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Conke-Commander	No but I'd like to be	Laptop	Mac	2	Never			I don't feel comfortable with my ability, I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Oceania	26-30	13 - 17	Male	Student (part time)	Yes	Associate degree	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Very important	Somewhat important	Very important	This information will be kept private.	Python, PHP, Elixir	Python, HTML, CSS	JavaScript, Haskell, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Data Science, Artificial Intelligence	Discord server discovery	3+ years	Chatting with other programmers, Lurking	Conke-Commander	Yes	Laptop, Desktop, Mobile	Mac	2	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	18-21	< 13	Male	Employed (full time)	Yes	Secondary/high school	Requirement	Very important	Very important	Somewhat important	Somewhat important	Requirement	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Go, Other	JavaScript, PHP, TypeScript	Go	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Mobile dev, Embedded Systems, Cyber security, Testing, Other	Discord server listing website	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	No but I'd like to be	Laptop, Desktop	Linux	3	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to only contribute to open source projects		Somewhat	Somewhat disagree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Africa	18-21	13 - 17	Male	Student (part time)	Yes	Rather not say	Very important	Very important	Very important	Very important	Requirement	Somewhat important	Requirement	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python	Python	Rust	I need to have some collaborators in order to keep myself motivated	Web dev, Game dev, Testing, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Lurking	Active	No but I'd like to be	Laptop	Linux	1	Less than once per year	Other	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	No, I didn't know they were enabled	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Requirement	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript, Other	JavaScript, Python, HTML, CSS, TypeScript, Go	C++, Kotlin, Go, Other	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Web dev, Mobile dev, Cyber security, Game dev, Testing, Artificial Intelligence, Other	Through a friend/colleague	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	Yes	Laptop, Desktop	Windows	1	Several times per week	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly Agree	Yes	This information will be kept private.
Europe	13-17	13 - 17	Male	Student (part time)	Yes	Primary/elementary School	Very important	Very important	Requirement	Very important	Very important	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	This information will be kept private.	Java	Java	JavaScript, C#	I need to have some collaborators in order to keep myself motivated	Web dev, Mobile dev, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Community-Member		Laptop	Windows	1	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	No	This information will be kept private.
Africa	22-25	13 - 17	Male	Employed (full time)	No	College/University study without earning a degree	Very important	Very important	Very important	Don't care	Somewhat important	Somewhat important	Requirement	Somewhat important	Don't care	Requirement	This information will be kept private.	JavaScript, TypeScript, Go	TypeScript, Go	Rust, Haskell	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Other	Other	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	Yes	Laptop	Windows	1	Less than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat disagree	Yes	This information will be kept private.
Europe	31-40	26+	Male	Rather not say	Yes	Secondary/high school	Very important	Don't care	Very important	Somewhat important	Very important	Requirement	Requirement	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript, Python, HTML	JavaScript, CSS, PHP, TypeScript	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Cyber security	Discord server discovery	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox		Laptop	Linux	2	A least once per month	To give back to the community, To improve my knowledge, Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
