Where are you from?	How old are you?	What age did you start programming?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home?	Which language(s) would you say you are most proficient in?	What is your favourite language and why?	What is your least favourite language and why?	Which language/framework/tool would you like to learn over the next year?	If you work on personal projects, which of these best describes your approach?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?	What language(s) would you like to see TPH make an open source project in?	Do you have any ideas for projects TPH could start?	Why have you not contributed to open source projects?	Which of our network servers are you a part of?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	What improvements would you like to suggest to the moderation team? (if any)	What spotlight would you like to see next on TPH? (It can be any language/framework/library/tool/technology)	What new channel you would like to see on TPH?	What is your favourite thing about TPH?	What is your least favourite thing about TPH?	Do you have any other comments you'd like to give to the moderation team?
Asia	22-25	22 - 25	learning more to get internship	Yes	Bachelor's degree	Don't care	Somewhat important	Somewhat important	Don't care	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, C, HTML, CSS, C#, PHP, Assembly	Java	C++ , because its gives the idea how program will actually work	all are good	after completing java , i will jump on cpp	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	The Pentester's Hangout, None - I'm only in The Programmer's Hangout	Somewhat	Strongly Agree	Somewhat	Somewhat	Somewhat	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	22-25	18 - 21	Employed (full time)	Yes	Bachelor's degree	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Requirement	Very important	Requirement	Very important	This information will be kept private.	JavaScript, C++, Python, C	JavaScript, C++	C/C++ because of the flexibility it provides. I am also very interested in exploitation and ethical hacking. The robustness is unparalleled in these languages.	PhP and Java. No opinion. You can say that I am not one for a scripting language. I prefer the semantics of JS over PHP. As for Java, well it is far too verbose for a high level language. I would rather C# over Java.	Jest, Puppeteer	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	To improve, learn and give others the benefit of my knowledge and skill.	I would like to contribute to more open source projects	Yes	Does not matter. I am open to learning any and all of them.	Not that I have in mind. I have been very fascinated by compression algorithms after watching Silicon Valley on HBO. I believe there is a lot of room for improvement over there and contributing even less than 1 percent can change the playing field.	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Somewhat important	Very important	Don't care	Very important	Very important	Very important	Requirement	Requirement	Don't care	Very important	This information will be kept private.	Python, HTML, CSS	Python, CSS	Python due to the simplicity of it	I dont hate any of the languages i know	I want to hopefully learn Ionic + React JS	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	#showcase could be cool and allowed people to show what they’re working on and progress they’ve made.	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	31-40	13 - 17	Employed (full time)	No	Bachelor's degree	Somewhat important	Somewhat important	Very important	Don't care	Very important	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, PHP, TypeScript	JavaScript	Javascript, because I like the syntax and I like that I can use it on both front/back-end.	PHP because it has ugly syntax	TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	FOSS is good and valuable in and of itself, and it can be fun to contribute to the cause.	I would like to contribute to more open source projects	No	TypeScript	N/A	N/A	Controversy Central, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	This information will be kept private.	Elixir	just keep #science around	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	18 - 21	Student (full time)	Yes	Bachelor's degree	Very important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, TypeScript, Go	JavaScript	JavaScript because currently it makes writing frontend and backend easier.	Java because so much boilerplate	TypeScript, Next.js, Adobe XD	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	They need to be better	I would like to contribute to more open source projects	Yes - If it was a language I know	JS, TS	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	22-25	13 - 17	Student (full time)	Yes	Secondary/high school	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Requirement	Requirement	Requirement	Requirement	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, TypeScript, Lua	JavaScript	N/A	N/A	Go, rust	I start a project but quickly lose motivation and usually don't complete a project	A least once per month	I like it.	I would like to contribute to more open source projects	No	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Somewhat	Not sure	Not sure	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, Kotlin, Lua, Visual Basic	Java, Kotlin	Kotlin - concise and expressive with good libraries thanks to interoperability with java	Visual Basic - No need to answer why. Horrible syntax, outdated language which makes it harder to do things	Rust / Ktor	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	To fix problems I have encountered	I would like to contribute to more open source projects	Yes - If it was a language I know	Python / Kotlin	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Somewhat	This information will be kept private.	Kotlin needs more love	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	13 - 17	Employed (internship)	Yes	Bachelor's degree	Very important	Very important	Somewhat important	Somewhat important	Very important	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, C#, PHP, TypeScript	JavaScript, C#, PHP	PHP, because of Laravel	C++ because I hate pointers and references	Vue.JS	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	< 13	Employed (part time)	Yes	Bachelor's degree	Very important	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, C#, PHP, Rust, Lua, Assembly, DM	PHP, Rust	Rust, because it doesn't accept halfassed solutions and forces you to think deeply about what you are doing	JavaScript, it feels like the complete opposite of Rust and lets people learn antipatterns and bad ways to approach problems	I would like to learn more about Rust, in particular in the field of game dev, as well as unity and eventually start a real attempt with the objective of creating a mobile game	I need to have some collaborators in order to keep myself motivated	A least once per month	I think it is the best way to learn and help others, plus a lot of open source projects are really interesting and I want to see them completed	I would like to contribute to more open source projects	Yes	Rust	Improve the ecosystem of the Rust language by developing framework, utilities and such so that more people will approach the language, both in a hobby and a business oriented way	N/A	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Not sure	This information will be kept private.	Bevy engine in Rust, it seems like a really nice project and I would love for them to get the attention they deserve for their amazing work!	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	C++, C, Elixir, Perl, Scala	C++, Perl	Perl, because it is an arcane power that not many know, and after that is quite good	Pascal, because it is needlesly rigid. To be completely honest, it could be improved if it wasn't as it was created which is showing quite well.	Erlang/Elixir	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Why should I not?	I would like to contribute to more open source projects	Yes - If it was a language I know	C++	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	none, but i want monnney	Yes	still in highschool	Somewhat important	Very important	Don't care	Requirement	Very important	Requirement	Very important	Requirement	Very important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS	JavaScript	js, bc there is node js, preety new enviroment so i will not have to learn other enviroments	python, no {} or ;, not used for syntax	probly php or improve my web development skills	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	i want to earn from my programs	Controversy Central, Late Gaming, None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Not sure	Strongly Agree	Somewhat	Strongly Agree	This information will be kept private.	discord js, i would love helping everyone with bots	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Employed (part time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Don't care	Don't care	Don't care	Somewhat important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, C#, PHP, Rust, TypeScript, Haskell, Lua, Assembly, CCAssembly	JavaScript, Python, C	C, its such an interesting and low level language which i enjoy. it also has rly beatiful and simple syntax	PHP, its old outdated and has several severe flaws	continue learning C	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	To learn new things and get involved to build reputation	I'm happy with my current level of open source contribution	Yes - If it was a language I know	python, c, javascript	a programming language ecosystem with a vm, an assembly language and several languages build ontop of it	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	channels for individual web frameworks like vue react etc	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Self Employed (full time)	Yes	College/University study without earning a degree	Requirement	Very important	Very important	Don't care	Very important	Somewhat important	Somewhat important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, HTML, CSS, Rust, TypeScript	JavaScript, Rust	Javascript, it's easy.	PHP, it just isn't good.	Probably some more multithreading libraries.	I need to have some collaborators in order to keep myself motivated	Less than once per month but more than once per year	If I see a bug.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	Serenity.rs - Rust Discord API Library	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	18 - 21	Apprentice (3.5D / Week Working, 1.5D School) for a Software Company	Yes	College/University study without earning a degree	Requirement	Requirement	Requirement	Don't care	Don't care	Don't care	Requirement	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, Kotlin, TypeScript, Lua, Assembly, Scala, Groovy, Delphi, PASCAL	Java, C#, Kotlin	Kotlin, just perfectly made syntax, interop with any JVM language, very nice.	Phython. Whitespaces are a shitty way to make your language work.	OpenGL or Vulcan	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Cause i like to use them, and if i can help develop something i like, its even better.	I would like to only contribute to open source projects	Yes - If it was a language I know	Java, most widespread	A programming game, a webserver alternative to NGIX/Apache	N/A	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Africa	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Don't care	Very important	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, TypeScript	Python, C#	Python is CURRENTLY my favorite language mostly because I don't know much more languages. It's the easiest and the one with the most useful libraries out of the few languages I know.	I didn't like C++ a lot because it overcomplicates things that are done easily in other languages (like python^)	Django	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't feel I'm good enough to help with other big projects that are higher than my level. I'm afraid I might ruin it.	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	This information will be kept private.	Django would be pretty cool; It might've already been done I joined recently	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Kotlin, Rust, TypeScript, Haskell, Lua, Lisp, Elixir	Rust	Rust. It's a joy to write in, the build and dependency management is excellent, the type system is very expressive, it's a practical language, and it's performant and optimizable.	I haven't used many languages that I hate. I probably like C++ the least, since it's a total mess of a language and a total mess to use.	N/A	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	I contribute to projects that I use when I find an area that I want them to be improved in.	I would like to contribute to more open source projects	No	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Somewhat	Not sure	Somewhat disagree	Strongly disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	< 13	Self Employed (full time)	Yes	College/University study without earning a degree	Requirement	Very important	Somewhat important	Somewhat important	Don't care	Don't care	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, PHP	JavaScript, Java	Java. Write once, run anywhere. No installer for a jar. Too many .net lovers, makes people clueless on decompiling when you package a jar as an exe. Java just keeps working. Write on windows. Deploy on Linux.	Python. Had a peer who refused to collaborate on any projects and he was determined to be a lone coder. He coded in python. I’m salty.	Kubernetes	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	Maybe someday when I can still feed myself and code free. I love to teach.	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Employed (part time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Don't care	Don't care	Somewhat important	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, Kotlin, Rust	C++, Python, Kotlin	Enjoy Kotlin a lot as it seems to be a just overall improvement from Java which is annoying to code in with a background in C++.	Javascript, due to the dynamic and weak typing, all the implicit conversions are just painful. It's a garbage language and should never be preferred over typescript.	Handling and managing databases, possibly Rust as a language.	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	To further develop the applications	I would like to contribute to more open source projects	Yes - If it was a language I know	Kotlin, I know there is some already but still.	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Somewhat	Not sure	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#	JavaScript, HTML, CSS, C#	JavaScript, not because it's particularly good at anything, but because it's fine, and can be used for literally anything. Server side, client side, web, mobile apps, etc.	C++. FYI, I haven't worked with real C++, just the version that Vex Robotics gives you to program their robots. It's just kind of clunky and for my purposes so far, its too low level to do anything fun with it.	I need to sharpen up my Python, and I'd love to get started with some sort of AI framework eventually.	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	I'm not at the skill level to contribute to very big open source projects, but I have my personal projects as open source and sometimes contribute to other small projects because it is fun to get a sense of contributing to the overall society.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	18 - 21	Employed (full time)	Yes	Never completed any formal education	Very important	Somewhat important	Very important	Don't care	Very important	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP, Kotlin, TypeScript, Go	Java, Python	Java - job security	N/A	Haskell	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	Why not?	I'm happy with my current level of open source contribution	No	N/A	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Somewhat	Somewhat	Strongly disagree	Somewhat disagree	Somewhat disagree	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
